No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
41,M71,S1_HORZ_SLIDE_NOT_REV_X20,0,2024-01-29T11:58:38.386392,Alarm,1
42,D4056,TOTAL_CNT_TR2,27,2024-01-29T11:58:38.418412,Counting,1
43,M39,S1_SING_SLD_NT_REV_X22,0,2024-01-29T11:58:38.434418,Alarm,1
44,operationTimeRaw,operationTimeRaw,00:00:02,2024-01-29T11:58:38.442418,Counting,1
45,D4058,TOTAL_CNT_TR3,27,2024-01-29T11:58:38.490459,Counting,1
46,M40,S1_SING_VERT_SLD_NT_DN_X23,0,2024-01-29T11:58:38.498459,Alarm,1
47,D4150,BAD_CNT_TR1,5,2024-01-29T11:58:38.530461,Counting,1
48,D4154,BAD_CNT_TR2,6,2024-01-29T11:58:38.600877,Counting,1
49,M41,S2_VERT_CYL_NT_UP_X27,0,2024-01-29T11:58:38.607503,Alarm,1
50,D4158,BAD_CNT_TR3,5,2024-01-29T11:58:38.687607,Counting,1
51,M42,S4_FILTER_CUT_VERT_CYL_NT_DN_X33,0,2024-01-29T11:58:38.735626,Alarm,1
52,D2120,S8_TOTAL_HEIGHT_TR1,0.0,2024-01-29T11:58:38.751631,Counting,1
53,M43,S4_STATION_NT_HOME_X34_X35,0,2024-01-29T11:58:38.783757,Alarm,1
54,D3120,S8_TOTAL_HEIGHT_TR2,0,2024-01-29T11:58:38.791811,Counting,1
55,M63,MODEL_NOT_SELECTED,0,2024-01-29T11:58:38.863792,Alarm,1
56,D5120,S8_TOTAL_HEIGHT_TR3,0.0,2024-01-29T11:58:38.880813,Counting,1
57,M72,S4_HORZ_SLIDE_NOT_REV_X34,0,2024-01-29T11:58:38.943850,Alarm,1
58,M73,WORK_HOLDER_CLEAR,0,2024-01-29T11:58:39.024380,Alarm,1
59,M44,S4_FILTER_HLD_VERT_CYL_NT_DN_X36_T1,0,2024-01-29T11:58:39.112940,Alarm,1
60,M45,S4_FILTER_HLD_VERT_CYL_NT_DN_X37_T2,0,2024-01-29T11:58:39.193315,Alarm,1
61,M46,S8_STOPPER_VERT_SLD_NT_UP_X50,0,2024-01-29T11:58:39.283169,Alarm,1
62,M47,S8_VERT_SLD_NT_DN_X51,0,2024-01-29T11:58:39.371191,Alarm,1
63,M55,MANUAL_CONTROL_ON,0,2024-01-29T11:58:39.435295,Alarm,1
64,operationTimeRaw,operationTimeRaw,00:00:03,2024-01-29T11:58:39.475679,Counting,1
65,M48,S10_S11_STATION_NT_HOME_X60_X61,0,2024-01-29T11:58:39.516181,Alarm,1
66,M4000,EJECTION_FLG_TR1,0,2024-01-29T11:58:39.612049,Alarm,1
67,M4001,EJECTION_FLG_TR2,0,2024-01-29T11:58:39.708516,Alarm,1
68,M4002,EJECTION_FLG_TR3,0,2024-01-29T11:58:39.772511,Alarm,1
69,M49,S12_JOB_NT_EJECTED_T1_X62,0,2024-01-29T11:58:39.860680,Alarm,1
70,M50,S12_JOB_NT_EJECTED_T2_X63,0,2024-01-29T11:58:39.901320,Alarm,1
71,M51,S12_JOB_NT_EJECTED_T3_X64,0,2024-01-29T11:58:39.965071,Alarm,1
72,M56,S7_HORZ_CYL_NOT_REV,0,2024-01-29T11:58:40.061170,Alarm,1
73,M57,S12_EJECTION_SLIDE_NOT_REV,0,2024-01-29T11:58:40.141792,Alarm,1
74,M58,S7_WH_PIN_LIFT_CYL_NOT_UP,0,2024-01-29T11:58:40.238789,Alarm,1
75,M53,S7_WELD_NT_RDY,0,2024-01-29T11:58:40.311029,Alarm,1
76,M54,S7_WELD_NT_HOME,0,2024-01-29T11:58:40.383891,Alarm,1
77,M66,S7_WELDING_MC_ALARM,0,2024-01-29T11:58:40.473091,Alarm,1
78,operationTimeRaw,operationTimeRaw,00:00:04,2024-01-29T11:58:40.497238,Counting,1
79,M67,S7_WELDING_UNIT_NOT_READY,1,2024-01-29T11:58:40.545224,Alarm,1
80,M59,BATCH_QTY_XCD,0,2024-01-29T11:58:40.641737,Alarm,1
81,M75,FRONT_DOOR_OPEN,0,2024-01-29T11:58:40.714416,Alarm,1
82,M76,REAR_DOOR_OPEN,0,2024-01-29T11:58:40.802049,Alarm,1
83,M77,RIGHT_DOOR_OPEN,0,2024-01-29T11:58:40.890157,Alarm,1
84,M78,BACK_DOOR_OPEN,0,2024-01-29T11:58:40.986252,Alarm,1
85,M174,ALL_MISS_CNT,0,2024-01-29T11:58:41.082313,Alarm,1
86,M60,S1_BF_JAM_T1_X24,1,2024-01-29T11:58:41.170453,Alarm,1
87,M61,S1_BF_JAM_T2_X25,1,2024-01-29T11:58:41.266982,Alarm,1
88,M62,S1_BF_JAM_T3_X26,1,2024-01-29T11:58:41.339087,Alarm,1
89,operationTimeRaw,operationTimeRaw,00:00:05,2024-01-29T11:58:41.525294,Counting,1
90,operationTimeRaw,operationTimeRaw,00:00:06,2024-01-29T11:58:42.543466,Counting,1
91,operationTimeRaw,operationTimeRaw,00:00:07,2024-01-29T11:58:43.568229,Counting,1
92,operationTimeRaw,operationTimeRaw,00:00:08,2024-01-29T11:58:44.592549,Counting,1
93,operationTimeRaw,operationTimeRaw,00:00:09,2024-01-29T11:58:45.607507,Counting,1
94,operationTimeRaw,operationTimeRaw,00:00:10,2024-01-29T11:58:46.646471,Counting,1
95,M61,S1_BF_JAM_T2_X25,0,2024-01-29T11:58:47.259528,Alarm,1
96,2,machineStatus,2,2024-01-29T11:58:47.267528,MachineStatus,1
97,M62,S1_BF_JAM_T3_X26,0,2024-01-29T11:58:47.307849,Alarm,1
98,operationTimeRaw,operationTimeRaw,00:00:11,2024-01-29T11:58:47.670261,Counting,1
99,M36,COMMUNICATION_ALARM,0,2024-01-29T11:58:47.822616,Alarm,1
100,operationTimeRaw,operationTimeRaw,00:00:12,2024-01-29T11:58:48.704662,Counting,1
101,operationTimeRaw,operationTimeRaw,00:00:13,2024-01-29T11:58:49.742247,Counting,1
102,M67,S7_WELDING_UNIT_NOT_READY,0,2024-01-29T11:58:49.870333,Alarm,1
103,M60,S1_BF_JAM_T1_X24,0,2024-01-29T11:58:50.313714,Alarm,1
104,operationTimeRaw,operationTimeRaw,00:00:14,2024-01-29T11:58:50.767419,Counting,1
105,operationTimeRaw,operationTimeRaw,00:00:15,2024-01-29T11:58:51.816220,Counting,1
106,operationTimeRaw,operationTimeRaw,00:00:16,2024-01-29T11:58:52.877323,Counting,1
107,operationTimeRaw,operationTimeRaw,00:00:17,2024-01-29T11:58:53.900923,Counting,1
108,operationTimeRaw,operationTimeRaw,00:00:18,2024-01-29T11:58:54.931883,Counting,1
109,operationTimeRaw,operationTimeRaw,00:00:19,2024-01-29T11:58:55.962492,Counting,1
110,operationTimeRaw,operationTimeRaw,00:00:20,2024-01-29T11:58:56.989353,Counting,1
111,operationTimeRaw,operationTimeRaw,00:00:21,2024-01-29T11:58:58.016496,Counting,1
112,operationTimeRaw,operationTimeRaw,00:00:22,2024-01-29T11:58:59.063190,Counting,1
113,operationTimeRaw,operationTimeRaw,00:00:23,2024-01-29T11:59:00.097217,Counting,1
114,operationTimeRaw,operationTimeRaw,00:00:24,2024-01-29T11:59:01.120139,Counting,1
115,operationTimeRaw,operationTimeRaw,00:00:25,2024-01-29T11:59:02.159342,Counting,1
116,operationTimeRaw,operationTimeRaw,00:00:26,2024-01-29T11:59:03.186401,Counting,1
117,operationTimeRaw,operationTimeRaw,00:00:27,2024-01-29T11:59:04.217314,Counting,1
118,operationTimeRaw,operationTimeRaw,00:00:29,2024-01-29T11:59:05.256644,Counting,1
