No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
106,b'\x02\x08\x00',pressure,160.7,2024-01-27T16:50:57.560191,Omron,1
107,b'\x02\x08\x00',pressure,160.6,2024-01-27T16:50:58.509589,Omron,1
108,b'\x02\x08\x00',pressure,160.5,2024-01-27T16:51:02.637655,Omron,1
109,b'\x02\x08\x00',pressure,160.3,2024-01-27T16:51:04.432702,Omron,1
110,b'\x02\x08\x00',pressure,160.5,2024-01-27T16:51:05.362197,Omron,1
111,b'\x02\x08\x00',pressure,160.3,2024-01-27T16:51:06.286254,Omron,1
112,b'\x02\x08\x00',pressure,160.2,2024-01-27T16:51:10.491240,Omron,1
113,b'\x02X\x00',temperature,167.4,2024-01-27T16:51:41.333013,Omron,1
114,b'\x02\x08\x00',pressure,160.3,2024-01-27T16:51:41.698499,Omron,1
115,b'\x02\x08\x00',pressure,160.2,2024-01-27T16:51:42.613193,Omron,1
116,b'\x02\x08\x00',pressure,160.3,2024-01-27T16:51:44.544912,Omron,1
117,b'\x02\x08\x00',pressure,160.2,2024-01-27T16:51:45.541991,Omron,1
118,b'\x02\x08\x00',pressure,160.3,2024-01-27T16:51:46.465595,Omron,1
119,b'\x02X\x00',temperature,167.3,2024-01-27T16:51:52.653025,Omron,1
120,b'\x02\x08\x00',pressure,160.5,2024-01-27T16:52:00.446194,Omron,1
121,b'\x02\x08\x00',pressure,160.3,2024-01-27T16:52:01.397816,Omron,1
122,b'\x02X\x00',temperature,167.2,2024-01-27T16:52:02.427111,Omron,1
123,b'\x02\x08\x00',pressure,160.5,2024-01-27T16:52:03.768536,Omron,1
124,b'\x02\x08\x00',pressure,160.6,2024-01-27T16:52:15.330403,Omron,1
125,b'\x02\x08\x00',pressure,160.5,2024-01-27T16:52:16.744392,Omron,1
126,None,BIRTH,N02,2024-01-27T16:52:18.232253,Siemens,1
127,b'\x02\x08\x00',pressure,160.6,2024-01-27T16:52:20.472418,Omron,1
128,b'\x02X\x00',temperature,167.1,2024-01-27T16:52:21.508051,Omron,1
129,b'\x02\x08\x00',pressure,160.7,2024-01-27T16:52:32.417209,Omron,1
130,b'\x02\x08\x00',pressure,160.6,2024-01-27T16:52:34.363271,Omron,1
131,b'\x02\x08\x00',pressure,160.7,2024-01-27T16:52:36.682701,Omron,1
132,b'\x02X\x00',temperature,167.0,2024-01-27T16:52:39.506539,Omron,1
133,b'\x02\x08\x00',pressure,160.8,2024-01-27T16:52:50.424269,Omron,1
134,b'\x02X\x00',temperature,166.9,2024-01-27T16:52:50.558598,Omron,1
135,b'\x02\x08\x00',pressure,160.7,2024-01-27T16:52:51.382209,Omron,1
136,b'\x02\x08\x00',pressure,160.8,2024-01-27T16:52:53.702665,Omron,1
137,b'\x02X\x00',temperature,166.8,2024-01-27T16:53:04.417662,Omron,1
138,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:13.687712,Omron,1
139,b'\x02\x08\x00',pressure,160.8,2024-01-27T16:53:14.583242,Omron,1
140,b'\x02X\x00',temperature,166.7,2024-01-27T16:53:17.491018,Omron,1
141,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:18.304434,Omron,1
142,b'\x02\x08\x00',pressure,160.8,2024-01-27T16:53:20.589461,Omron,1
143,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:21.531584,Omron,1
144,b'\x02\x08\x00',pressure,160.8,2024-01-27T16:53:24.308439,Omron,1
145,b'\x02\x08\x00',pressure,160.9,2024-01-27T16:53:25.714018,Omron,1
146,None,BIRTH,N03,2024-01-27T16:53:32.653388,Omron,1
147,None,BIRTH,N03/DV01,2024-01-27T16:53:32.669384,Omron,1
148,b'\x02X\x00',temperature,166.6,2024-01-27T16:53:42.524520,Omron,1
149,b'\x02\x08\x00',pressure,161.0,2024-01-27T16:53:44.767144,Omron,1
